"정본행번호","업소명","입력주소","기존위도","기존경도","최초POI조회어","POI조회어","POI조회방식","POI후보수","POI상호","POI도로명주소","POI지번주소","POI상호일치","POI주소일치","APIHUB좌표후보수","제안위도","제안경도","좌표출처","좌표출처URL","권장좌표검증상태","판정","검토사유","확인일"
"2","레드폴바버샵 강남신사점","서울특별시 강남구 논현로151길 41, 2층 201호","37.5195936","127.0248338","레드폴바버샵 강남신사점 서울특별시 강남구 논현로151길 41, 2층 201호","레드폴바버샵 강남신사점 서울특별시 강남구 논현로151길 41","도로명·건물번호 보조 검색","1","<b>레드폴바버샵 강남신사점</b>","서울특별시 강남구 논현로151길 41 2층 201호","서울특별시 강남구 신사동 561 2층 201호","True","True","1","37.5195978","127.0248202","네이버 지도","https://map.naver.com/p/search/%EB%A0%88%EB%93%9C%ED%8F%B4%EB%B0%94%EB%B2%84%EC%83%B5%20%EA%B0%95%EB%82%A8%EC%8B%A0%EC%82%AC%EC%A0%90%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B0%95%EB%82%A8%EA%B5%AC%20%EB%85%BC%ED%98%84%EB%A1%9C151%EA%B8%B8%2041%2C%202%EC%B8%B5%20201%ED%98%B8","확인 완료","확인 후보","단일 상호·주소 일치 후보","2026-09-06"
"3","레드폴바버샵 강남역삼점","서울특별시 강남구 도곡로3길 13, 르메이에르 2층 203-2호","37.4910688","127.0326686","레드폴바버샵 강남역삼점 서울특별시 강남구 도곡로3길 13, 르메이에르 2층 203-2호","레드폴바버샵 강남역삼점 서울특별시 강남구 도곡로3길 13","도로명·건물번호 보조 검색","1","","","","True","False","0","","","","","재확인 필요","재확인 필요","상호는 일치하지만 주소가 일치하지 않습니다","2026-09-06"
"4","우동명가기리야마본진","서울특별시 강남구강남대로84길23(역삼동, (한라클래식 지하1층))","37.4971584","127.0304025","우동명가기리야마본진 서울특별시 강남구강남대로84길23(역삼동, (한라클래식 지하1층))","우동명가기리야마본진 서울특별시 강남구강남대로84길23(역삼동","도로명·건물번호 보조 검색","1","","","","True","False","0","","","","","재확인 필요","재확인 필요","상호는 일치하지만 주소가 일치하지 않습니다","2026-09-06"
"5","투오프커피","서울특별시 강남구역삼로9길20(역삼동, (1층))","37.495297","127.0339254","투오프커피 서울특별시 강남구역삼로9길20(역삼동, (1층))","투오프커피 서울특별시 강남구역삼로9길20(역삼동","도로명·건물번호 보조 검색","1","","","","True","False","0","","","","","재확인 필요","재확인 필요","상호는 일치하지만 주소가 일치하지 않습니다","2026-09-06"
"6","힐빌리바버샵","서울특별시 강동구 양재대로96길 26, 광남캐스빌 근생 101호","37.5291947","127.1385431","힐빌리바버샵 서울특별시 강동구 양재대로96길 26, 광남캐스빌 근생 101호","힐빌리바버샵 서울특별시 강동구 양재대로96길 26","도로명·건물번호 보조 검색","1","<b>힐빌리바버샵</b>","서울특별시 강동구 양재대로96길 26 광남캐스빌 근생 101호","서울특별시 강동구 둔촌동 631 광남캐스빌 근생 101호","True","True","1","37.5294117","127.1385941","네이버 지도","https://map.naver.com/p/search/%ED%9E%90%EB%B9%8C%EB%A6%AC%EB%B0%94%EB%B2%84%EC%83%B5%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B0%95%EB%8F%99%EA%B5%AC%20%EC%96%91%EC%9E%AC%EB%8C%80%EB%A1%9C96%EA%B8%B8%2026%2C%20%EA%B4%91%EB%82%A8%EC%BA%90%EC%8A%A4%EB%B9%8C%20%EA%B7%BC%EC%83%9D%20101%ED%98%B8","확인 완료","확인 후보","단일 상호·주소 일치 후보","2026-09-06"
"7","가운소곱창","서울특별시 강동구상암로42(천호동, 131호)","37.5495882","127.1279034","가운소곱창 서울특별시 강동구상암로42(천호동, 131호)","가운소곱창 서울특별시 강동구상암로42(천호동","도로명·건물번호 보조 검색","1","","","","True","False","0","","","","","재확인 필요","재확인 필요","상호는 일치하지만 주소가 일치하지 않습니다","2026-09-06"
"8","송미용실","서울특별시 강북구인수봉로78길13(수유동)","37.644609","127.0116053","송미용실 서울특별시 강북구인수봉로78길13(수유동)","송미용실 서울특별시 강북구인수봉로78길13(수유동)","전체 주소 검색","1","","","","True","False","0","","","","","재확인 필요","재확인 필요","상호는 일치하지만 주소가 일치하지 않습니다","2026-09-06"
"9","착한이발","서울특별시 강북구도봉로371(수유동, (지하1층))","37.6404577","127.0278529","착한이발 서울특별시 강북구도봉로371(수유동, (지하1층))","착한이발 서울특별시 강북구도봉로371(수유동","도로명·건물번호 보조 검색","2","","","","True","False","0","","","","","재확인 필요","재확인 필요","상호는 일치하지만 주소가 일치하지 않습니다","2026-09-06"
"10","만미정 식당","서울특별시 강북구솔매로43길96(미아동)","37.6299344","127.0228654","만미정 식당 서울특별시 강북구솔매로43길96(미아동)","만미정 식당 서울특별시 강북구솔매로43길96(미아동)","전체 주소 검색","1","","","","True","False","0","","","","","재확인 필요","재확인 필요","상호는 일치하지만 주소가 일치하지 않습니다","2026-09-06"
"11","강서풍천민물장어","서울특별시 강서구양천로18길9(방화동)","37.5729726","126.812989","강서풍천민물장어 서울특별시 강서구양천로18길9(방화동)","강서풍천민물장어 서울특별시 강서구양천로18길9(방화동)","전체 주소 검색","1","","","","True","False","0","","","","","재확인 필요","재확인 필요","상호는 일치하지만 주소가 일치하지 않습니다","2026-09-06"
"12","공항두루치기","서울특별시 강서구양천로28(방화동)","37.5722167","126.8065625","공항두루치기 서울특별시 강서구양천로28(방화동)","공항두루치기 서울특별시 강서구양천로28(방화동)","전체 주소 검색","1","","","","True","False","0","","","","","재확인 필요","재확인 필요","상호는 일치하지만 주소가 일치하지 않습니다","2026-09-06"
"13","김가네 개화산역점","서울특별시 강서구양천로28(방화동, (벽산에어트리움 C-8호)))","37.5722167","126.8063625","김가네 개화산역점 서울특별시 강서구양천로28(방화동, (벽산에어트리움 C-8호)))","김가네 개화산역점 서울특별시 강서구양천로28(방화동","도로명·건물번호 보조 검색","1","","","","True","False","0","","","","","재확인 필요","재확인 필요","상호는 일치하지만 주소가 일치하지 않습니다","2026-09-06"
"14","일품사천불짬뽕","서울특별시 강서구양천로28(방화동, (벽산에어트리움))","37.5722167","126.8067625","일품사천불짬뽕 서울특별시 강서구양천로28(방화동, (벽산에어트리움))","일품사천불짬뽕 서울특별시 강서구양천로28(방화동","도로명·건물번호 보조 검색","1","","","","True","False","0","","","","","재확인 필요","재확인 필요","상호는 일치하지만 주소가 일치하지 않습니다","2026-09-06"
"15","전주콩나물 해장국&지지미 방화점","서울특별시 강서구양천로6길28(방화동)","37.5705336","126.8068242","전주콩나물 해장국&지지미 방화점 서울특별시 강서구양천로6길28(방화동)","전주콩나물 해장국&지지미 방화점 서울특별시 강서구양천로6길28(방화동)","전체 주소 검색","1","","","","False","False","0","","","","","미확인","미확인","상호와 주소가 일치하는 후보가 없습니다","2026-09-06"
"16","칼스토랑 방화점","서울특별시 강서구양천로28(방화동, (b106)))","37.5722167","126.8064625","칼스토랑 방화점 서울특별시 강서구양천로28(방화동, (b106)))","칼스토랑 방화점 서울특별시 강서구양천로28(방화동","도로명·건물번호 보조 검색","1","","","","True","False","0","","","","","재확인 필요","재확인 필요","상호는 일치하지만 주소가 일치하지 않습니다","2026-09-06"
